"page","2013-04-01 pi","2013-04-01 pv","2013-05-01 pi","2013-05-01 pv","2013-06-01 pi","2013-06-01 pv","2013-07-01 pi","2013-07-01 pv","2013-08-01 pi","2013-08-01 pv","2013-09-01 pi","2013-09-01 pv","2013-10-01 pi","2013-10-01 pv","2013-11-01 pi","2013-11-01 pv","2013-12-01 pi","2013-12-01 pv","2014-01-01 pi","2014-01-01 pv","2014-02-01 pi","2014-02-01 pv","2014-03-01 pi","2014-03-01 pv","2014-04-01 pi","2014-04-01 pv","2014-05-01 pi","2014-05-01 pv","2014-06-01 pi","2014-06-01 pv","2014-07-01 pi","2014-07-01 pv","2014-08-01 pi","2014-08-01 pv","2014-09-01 pi","2014-09-01 pv","2014-10-01 pi","2014-10-01 pv","2014-11-01 pi","2014-11-01 pv","2014-12-01 pi","2014-12-01 pv","2015-01-01 pi","2015-01-01 pv","2015-02-01 pi","2015-02-01 pv","2015-03-01 pi","2015-03-01 pv","2015-04-01 pi","2015-04-01 pv","2015-05-01 pi","2015-05-01 pv","2015-06-01 pi","2015-06-01 pv","2015-07-01 pi","2015-07-01 pv","2015-08-01 pi","2015-08-01 pv","2015-09-01 pi","2015-09-01 pv","2015-10-01 pi","2015-10-01 pv","2015-11-01 pi","2015-11-01 pv","2015-12-01 pi","2015-12-01 pv","2016-01-01 pi","2016-01-01 pv","2016-02-01 pi","2016-02-01 pv","2016-03-01 pi","2016-03-01 pv","2016-04-01 pi","2016-04-01 pv","2016-05-01 pi","2016-05-01 pv","2016-06-01 pi","2016-06-01 pv","2016-07-01 pi","2016-07-01 pv","2016-08-01 pi","2016-08-01 pv","2016-09-01 pi","2016-09-01 pv","2016-10-01 pi","2016-10-01 pv","2016-11-01 pi","2016-11-01 pv","2016-12-01 pi","2016-12-01 pv","2017-01-01 pi","2017-01-01 pv","2017-02-01 pi","2017-02-01 pv","2017-03-01 pi","2017-03-01 pv","2017-04-01 pi","2017-04-01 pv","2017-05-01 pi","2017-05-01 pv","2017-06-01 pi","2017-06-01 pv","2017-07-01 pi","2017-07-01 pv","2017-08-01 pi","2017-08-01 pv","2017-09-01 pi","2017-09-01 pv","2017-10-01 pi","2017-10-01 pv","2017-11-01 pi","2017-11-01 pv","2017-12-01 pi","2017-12-01 pv","2018-01-01 pi","2018-01-01 pv","2018-02-01 pi","2018-02-01 pv","2018-03-01 pi","2018-03-01 pv","2018-04-01 pi","2018-04-01 pv","2018-05-01 pi","2018-05-01 pv","2018-06-01 pi","2018-06-01 pv"
"strat-lärmkarte-lden-tag-abend-nacht-index-straßenverkehr-2012-ua-atom","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2","","","","","","","","","","","",""
"entwicklung-luftqualität-so2-gesamtemissionen-1994-umweltatlas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2","","","","","2","2","","","","","","","","","","","",""
"rbs-blöcke-dezember-2015","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","2","46","39","135","111","79","70","99","85","31","29","39","35","47","42","35","30","12","10","5","5","11","10","5","5","13","11","6","6","9","8","7","6","7","7","5","5","3","2","5","4","3","3","2","2","","","","","","","","","","","",""
"geländehöhen-2009-umweltatlas-atom-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","6","4","4","11","9","2","2","6","6","2","2","","","","","","","","","","","",""
"gesundheitsberichterstattung-berlin-gesundheitsrelevante-verhaltensweisen-ernährung","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2","1","1","","","","","","","","","","","","","","","","","2","2","","","","","","","","","","","1","1","","","1","1","2","1","","","","","","","","","","","",""
"einwohnerinnen-und-einwohner-berlin-lor-planungsräumen-nach-wohndauer-am-31122014http%3A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","1","","","","","","","","","","","",""
"sozialstatistisches-berichtswesen-berlin-landespflegegeldgesetz-lpflgg-ab-2004-1","","","","","","","","","","","","","","","","","","","","","1","1","2","2","","","","","","","","","","","4","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","1","1","3","3","2","2","","","","","","","","","","","",""
"wohnatlas-berlin-angebotsmieten-20082009-wms","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","2","2","1","1","3","3","4","3","2","2","","","","","","","","","","","",""
"gesundheitsberichterstattung-berlin-gesundheitsindikator-111-kostenstrukturanalyse-der","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","1","","","","","","","","","","","",""
"entwicklung-luftqualität-pm25-emissionen-kfz-verkehr-gn-2009-umweltatlas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","3","1","1","2","2","","","","","","","","","","","",""
"lapro-beschlussfassung-erholung-und-freiraumnutzung-programmplan-atom","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","2","2","6","3","1","1","2","2","1","1","2","2","","","","","","","","","","","",""
"wohnfläche-2014-lor-wms","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","","","6","6","9","6","7","7","2","2","","","","","","","","","","","",""
"vbb-fahrplandaten-dezember-2017-bis-dezember-2018RE2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","1","","","","","","","","","","","",""
"blockkarte-1-5000-isu5-raumbezug-umweltatlas-2010-wms","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2","2","2","3","3","2","2","1","1","2","2","","","","","","","","","","","",""
"sanierungsgebiete-ab-2002-aufgehoben-wfs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","3","3","","","","","","","","","4","4","2","2","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","2","1","","","","","","","","","","","",""
"los52018-berlin","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","1","","","","","","","","","","","",""
"vbb-fahrplandaten-mitte-oktober-2017-bis-dezember-2017","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37","32","47","41","2","2","","","","","","","","","","","",""
"vbb-fahrplandaten-dezember-2017-bis-dezember-2018RE2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","1","","","","","","","","","","","",""
"entwicklung-luftqualität-nox-emissionen-kfz-verkehr-gn-2005-umweltatlas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","4","3","1","1","1","1","4","3","1","1","2","1","","","","","","","","","","","",""
"lapro-grundlagen-zielartenverbreitung-wms","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","4","3","2","1","2","2","","","","","","","","","","","",""
"ph-werte-im-oberboden-2010-umweltatlas-wms","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","2","1","1","1","1","","","2","2","1","1","","","1","1","","","","","","","","","","","2","2","","","","","","","","","","","",""
"austauschhäufigkeit-des-bodenwassers-2010-umweltatlas-wfs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2","","","1","1","","","","","","","","","","","",""
"angebote-für-kinder-jugend-und-familie","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20","19","15","12","4","4","7","6","20","16","12","9","7","5","26","22","8","7","2","2","3","3","4","4","6","6","5","5","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","",""
"gesundheitsberichterstattung-berlin-kontext-einschulungsuntersuchung-berlin-20072008","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","",""
"tlp-wärmepumpe-2013-berlin","","","","","4","4","5","5","1","1","3","3","1","1","","","1","1","2","2","4","4","1","1","","","","","","","2","2","3","3","4","3","","","","","","","3","3","2","1","1","1","","","","","","","3","3","","","2","2","","","","","","","1","1","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","",""
"grundwassergleichen-2012-geologischer-atlas-wms","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","4","4","","","","","","","","","","","","","","","","","","","","","3","2","1","1","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","",""
"vbb-fahrplandaten-september-2015-bis-dezember-2015","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","93","74","424","379","160","147","49","38","15","14","8","8","10","8","10","9","","","","","","","7","6","3","3","4","4","2","1","2","1","5","5","","","","","","","2","2","2","2","2","2","","","","","","","1","1","1","1","1","1","","","","","","","","","","","",""
"liste-der-h","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","2","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","",""
"gesundheitsberichterstattung-berlin-kontext-geburtsgeschehen-berlin-20142015","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","4","3","2","","","4","4","","","2","2","2","1","","","","","","","1","1","","","1","1","","","","","","","","","","","",""
"flächennutzung-stadtstruktur-2010-und-versiegelung-2011-umweltatlas-wfs)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","4","4","4","8","8","15","15","19","17","9","7","7","6","22","17","13","11","1","1","1","1","3","2","9","5","1","1","1","1","4","4","2","2","7","6","8","8","2","2","1","1","5","5","1","1","","","","","","","","","","","",""
"archivfunktion-der-böden-für-die-naturgeschichte-2010-umweltatlas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","",""
"gesundheitsberichterstattung-berlin-beschäftigte-im-gesundheitswesen-ausgewählte-im-2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","",""
"sozialstatistisches-berichtswesen-berlin-gesundheitsmodernisierungsgesetz-gmg-§264-sgb-v","","","","","","","","","","","","","","","","","","","","","1","1","2","2","3","3","10","8","6","5","5","4","3","2","7","7","8","7","8","8","3","3","9","9","14","14","10","10","5","5","5","5","1","1","5","5","6","6","6","4","1","1","3","3","5","4","1","1","4","4","16","15","22","19","9","9","3","3","7","6","3","3","2","2","1","1","5","5","3","3","3","3","9","9","6","6","2","1","11","9","6","6","","","1","1","1","1","1","1","5","5","1","1","","","","","","","","","","","",""
"kleingartenbestand-berlin-wfs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","4","3","3","1","1","4","3","1","1","","","","","","","","","","","1","1","1","1","3","3","2","1","2","1","3","3","11","10","3","2","","","2","1","","","1","1","1","1","","","","","","","","","","","",""
"status-index-2015-lor-wms","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2","4","3","2","2","3","2","1","1","5","5","1","1","","","","","","","","","","","",""
"versiegelung-2011-umweltatlas-wms","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","3","3","","","","","","","3","3","","","1","1","","","","","","","1","1","1","1","4","4","","","","","","","2","2","","","2","2","","","2","2","1","1","","","","","","","","","","","",""
"standardeinspeisprofil-bhkw-2013-berlin","","","","","3","2","2","2","11","7","5","5","6","5","5","3","3","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","2","1","1","2","2","1","1","5","4","","","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","","","1","1","","","","","","","","","","","",""
"berliner-wasserbetriebe-wasseranalysedaten-der-wasserwerke28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","",""
"gesundheitsberichterstattung-berlin-gesundheitszustand-der-bevölkerung-krankheiten-des-2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","3","4","4","","","3","3","3","3","","","","","","","","","","","1","1","8","6","2","2","2","1","","","1","1","2","2","1","1","3","3","1","1","","","","","","","","","","","",""
"gesundheitsberichterstattung-berlin-kontext-sozialstrukturatlas-berlin-2008","","","","","","","","","","","","","","","","","","","","","10","7","2","2","","","","","","","","","","","1","1","1","1","1","1","1","1","2","2","1","1","3","3","","","","","","","1","1","","","1","1","","","","","","","","","1","1","1","1","","","","","","","","","","","","","","","","","","","","","2","2","1","1","","","","","1","1","","","","","","","","","","","1","1","","","","","","","","","","","",""
"versiegelung-2005-unkorrigierte-versiegelungsgrade-rasterdaten-atom","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","","","","","","","","","","","",""
"stolperstein-suche","18","18","11","11","10","10","9","9","5","5","12","10","7","7","7","6","51","44","11","10","12","9","13","12","12","9","8","7","6","6","11","9","9","7","8","7","48","45","8","5","7","5","8","6","9","7","6","5","5","4","2","2","8","5","3","3","3","2","1","1","15","10","2","2","2","2","3","3","6","6","7","6","4","4","6","5","4","4","2","2","5","5","6","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","",""
"digitale-color-infrarot-orthophotos-2010-dop20cir-atom","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","1","1","2","2","2","2","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","",""
"vbb-fahrplandaten-april-2015-bis-dezember-2015","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","111","80","187","150","70","59","14","13","11","8","4","4","13","12","5","4","5","4","1","1","2","2","1","1","","","","","","","","","","","","","","","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","",""
"gesundheitsberichterstattung-berlin-gesundheitsindikator-318-verteilung-der-häufigsten","","","","","","","","","","","","","","","","","","","","","1","1","8","8","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","3","","","","","1","1","","","","","","","","","","","",""
"jahreshöchstlast-der-netzlast-2014-berlin","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","",""
"einwohnerinnen-und-einwohner-den-ortsteilen-berlins-am-30062012","","","","","","","","","","","","","","","","","","","","","","","","","","","7","7","13","12","9","7","5","5","5","4","5","4","20","18","6","5","5","5","2","2","5","4","","","","","","","2","2","1","1","2","2","","","","","","","1","1","4","3","4","4","","","1","1","2","2","1","1","","","1","1","2","2","","","1","1","","","","","4","2","1","1","3","3","1","1","","","","","","","","","1","1","1","1","","","","","","","","","","","",""
"wanderungssaldo-2013-2014-lor-wms","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","2","2","1","1","4","4","7","7","1","1","","","","","","","","","","","",""
"gesundheitsberichterstattung-berlin-gesundheitsindikator-219-alleinerziehende-mit","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","2","2","","","2","2","","","","","","","","","","","","","1","1","1","1","1","1","","","","","","","","","","","",""
"summe-einspeisung-hochspannung-2013-berlin","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","1","1","","","","","","","","","","","",""
"luftbilder-1928-maÃŸstab-14-000-wms","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","",""
"archivfunktion-der-böden-für-die-naturgeschichte-2010-umweltatlas-wfs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","",""
"grün-und-freiflächenbestand-2010-umweltatlas-wfs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","4","5","5","3","3","7","7","2","2","10","7","10","9","11","8","","","","","","","","","","","","","","","7","6","46","38","7","5","1","1","2","2","1","1","","","1","1","","","","","","","","","","","",""
"solaranlagen-photovoltaik-auf-bezirksregionebene-umweltatlas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","",""
"digitale-farbige-orthophotos-2007-dop20rgb-wms","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","2","2","","","","","","","","","","","1","1","","","","","","","","","","","",""
"rbs-adressen-dezember-2014","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","77","68","66","55","79","64","43","33","64","52","43","39","57","47","20","17","24","20","43","37","35","29","29","26","19","16","15","14","21","20","5","5","1","1","5","5","12","11","9","8","2","2","5","3","2","1","2","2","4","3","1","1","3","3","2","2","2","2","2","2","1","1","2","1","2","2","4","3","1","1","","","","","","","","","","","",""
"wohnatlas-berlin-anteil-der-einwohner-mit-mind-einjähriger-wohndauer-2009-wms","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","6","","","","","","","1","1","2","1","1","1","","","","","","","","","","","",""
"gesundheitsberichterstattung-berlin-gesundheitsindikator-385-leistungen-zur","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","",""
"co2-emissionen-durch-anlagen-nach-tehg-2005-2015-umweltatlas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","4","","","1","1","","","5","5","1","1","1","1","1","1","3","3","","","","","1","1","3","3","1","1","1","1","","","","","","","","","","","",""
"sozialstatistisches-berichtswesen-berlin-grundauswertungen-leistungen-nach-dem-3-kap-sgb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","3","","","3","3","2","2","","","","","2","1","","","","","","","2","2","20","14","2","2","","","","","","","","","","","","","","","","","","","1","1","1","1","1","1","","","","","","","","","","","",""
"jahreshöchstlast-der-netzlast-2016-berlin","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","1","1","","","","","","","","","","","",""
"standardlastprofil-haushalt-2014-berlin","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","2","","","1","1","2","2","1","1","5","5","7","7","3","3","3","2","4","4","5","4","4","3","5","5","2","2","5","3","1","1","1","1","1","1","1","1","1","1","3","3","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","","","","","","","","","","",""
"gesundheitsberichterstattung-berlin-gesundheitsindikator-343-schwerbehinderte-grad-der","","","","","","","","","","","","","","","","","","","","","","","11","11","3","3","1","1","1","1","","","2","2","2","2","","","","","","","","","","","2","2","","","","","2","2","","","","","","","","","","","","","","","","","","","","","","","2","1","","","","","","","1","1","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","",""
"reale-nutzung-2010-umweltatlas-wms","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","10","10","7","6","3","2","5","5","7","6","1","1","","","","","","","","","","","",""
"haushaltsplan-berlin-2012-inklusive-nachtrag","6","6","7","6","6","6","4","4","3","2","1","1","2","2","2","2","1","1","1","1","4","4","3","3","1","1","2","2","2","2","2","2","3","3","1","1","1","1","1","1","2","1","3","3","1","1","1","1","1","1","1","1","2","2","","","","","","","","","","","","","","","1","1","2","2","2","2","2","2","1","1","","","","","","","","","","","","","","","","","","","","","","","","","1","1","2","2","1","1","","","","","1","1","","","","","","","","","","","",""
"klimamodell-berlin-klimafunktionen-2005-umweltatlas-wms","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","",""
"gesundheitsberichterstattung-berlin-gesundheitsindikator-717-beteiligung-am-gesundheits","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","1","1","","","","","","","","","","","",""
"digitale-farbige-trueorthophotos-2013-atom","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","1","1","1","1","","","","","","","","","","","",""
"vbb2011-ausnahmeregelungen-öpnv","23","17","4","4","30","29","26","24","22","20","24","22","22","19","22","21","13","13","","","","","","","1","1","","","2","1","","","","","","","","","","","","","1","1","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","",""
"blöcke-1-5000-wfs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","7","12","11","8","7","10","10","1","1","3","3","10","10","5","5","11","10","3","3","4","4","5","3","6","4","2","2","4","4","4","3","2","2","3","3","3","3","4","3","4","4","1","1","1","1","","","","","","","","","","","",""
"anzahl-erwerbstätiger-im-cluster-kommunikation-medien-kulturwirtschaft-2009","2","2","","","7","7","11","6","6","3","2","2","4","4","7","7","3","3","6","6","8","1","6","5","3","3","10","9","6","6","7","7","2","2","5","4","","","","","","","1","1","4","4","8","6","17","15","5","5","5","5","2","2","3","3","2","2","3","3","8","7","3","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","",""
